x,y,u_numeric
0.777778,0.020202,-0.013269
0.787879,0.020202,-0.013062
0.797980,0.020202,-0.012827
0.808081,0.020202,-0.012563
0.818182,0.020202,-0.012269
0.828283,0.020202,-0.011942
0.838384,0.020202,-0.011582
0.848485,0.020202,-0.011187
0.858586,0.020202,-0.010757
0.868687,0.020202,-0.010288
0.878788,0.020202,-0.009780
0.888889,0.020202,-0.009232
0.898990,0.020202,-0.008641
0.909091,0.020202,-0.008005
0.919192,0.020202,-0.007324
0.929293,0.020202,-0.006596
0.939394,0.020202,-0.005818
0.949495,0.020202,-0.004988
0.959596,0.020202,-0.004105
0.969697,0.020202,-0.003167
0.979798,0.020202,-0.002172
0.989899,0.020202,-0.001117
1.000000,0.020202,0.000000
0.000000,0.030303,0.000000
0.010101,0.030303,-0.000354
0.020202,0.030303,-0.000708
0.030303,0.030303,-0.001063
0.040404,0.030303,-0.001417
0.050505,0.030303,-0.001772
0.060606,0.030303,-0.002127
0.070707,0.030303,-0.002483
0.080808,0.030303,-0.002839
0.090909,0.030303,-0.003196
0.101010,0.030303,-0.003554
0.111111,0.030303,-0.003912
0.121212,0.030303,-0.004271
0.131313,0.030303,-0.004631
0.141414,0.030303,-0.004992
0.151515,0.030303,-0.005353
0.161616,0.030303,-0.005716
0.171717,0.030303,-0.006079
0.181818,0.030303,-0.006443
0.191919,0.030303,-0.006808
0.202020,0.030303,-0.007174
0.212121,0.030303,-0.007541
0.222222,0.030303,-0.007909
0.232323,0.030303,-0.008277
0.242424,0.030303,-0.008646
0.252525,0.030303,-0.009016
0.262626,0.030303,-0.009386
0.272727,0.030303,-0.009756
0.282828,0.030303,-0.010127
0.292929,0.030303,-0.010498
0.303030,0.030303,-0.010869
0.313131,0.030303,-0.011239
0.323232,0.030303,-0.011609
0.333333,0.030303,-0.011979
0.343434,0.030303,-0.012347
0.353535,0.030303,-0.012714
0.363636,0.030303,-0.013080
0.373737,0.030303,-0.013445
0.383838,0.030303,-0.013807
0.393939,0.030303,-0.014166
0.404040,0.030303,-0.014523
0.414141,0.030303,-0.014877
0.424242,0.030303,-0.015228
0.434343,0.030303,-0.015574
0.444444,0.030303,-0.015916
0.454545,0.030303,-0.016253
0.464646,0.030303,-0.016585
0.474747,0.030303,-0.016910
0.484848,0.030303,-0.017229
0.494949,0.030303,-0.017541
0.505051,0.030303,-0.017845
0.515152,0.030303,-0.018141
0.525253,0.030303,-0.018427
0.535354,0.030303,-0.018704
0.545455,0.030303,-0.018970
0.555556,0.030303,-0.019225
0.565657,0.030303,-0.019468
0.575758,0.030303,-0.019697
0.585859,0.030303,-0.019913
0.595960,0.030303,-0.020114
0.606061,0.030303,-0.020299
0.616162,0.030303,-0.020467
0.626263,0.030303,-0.020617
0.636364,0.030303,-0.020748
0.646465,0.030303,-0.020860
0.656566,0.030303,-0.020950
0.666667,0.030303,-0.021018
0.676768,0.030303,-0.021062
0.686869,0.030303,-0.021081
0.696970,0.030303,-0.021075
0.707071,0.030303,-0.021040
0.717172,0.030303,-0.020977
0.727273,0.030303,-0.020883
0.737374,0.030303,-0.020757
0.747475,0.030303,-0.020598
0.757576,0.030303,-0.020403
0.767677,0.030303,-0.020172
0.777778,0.030303,-0.019902
0.787879,0.030303,-0.019592
0.797980,0.030303,-0.019240
0.808081,0.030303,-0.018844
0.818182,0.030303,-0.018402
0.828283,0.030303,-0.017912
0.838384,0.030303,-0.017372
0.848485,0.030303,-0.016780
0.858586,0.030303,-0.016133
0.868687,0.030303,-0.015430
0.878788,0.030303,-0.014669
0.888889,0.030303,-0.013846
0.898990,0.030303,-0.012959
0.909091,0.030303,-0.012007
0.919192,0.030303,-0.010985
0.929293,0.030303,-0.009892
0.939394,0.030303,-0.008725
0.949495,0.030303,-0.007481
0.959596,0.030303,-0.006157
0.969697,0.030303,-0.004750
0.979798,0.030303,-0.003257
0.989899,0.030303,-0.001675
1.000000,0.030303,0.000000
0.000000,0.040404,0.000000
0.010101,0.040404,-0.000472
0.020202,0.040404,-0.000945
0.030303,0.040404,-0.001417
0.040404,0.040404,-0.001890
0.050505,0.040404,-0.002363
0.060606,0.040404,-0.002837
0.070707,0.040404,-0.003312
0.080808,0.040404,-0.003787
0.090909,0.040404,-0.004263
0.101010,0.040404,-0.004740
0.111111,0.040404,-0.005217
0.121212,0.040404,-0.005696
0.131313,0.040404,-0.006176
0.141414,0.040404,-0.006657
0.151515,0.040404,-0.007139
0.161616,0.040404,-0.007623
0.171717,0.040404,-0.008107
0.181818,0.040404,-0.008593
0.191919,0.040404,-0.009080
0.202020,0.040404,-0.009568
0.212121,0.040404,-0.010057
0.222222,0.040404,-0.010548
0.232323,0.040404,-0.011039
0.242424,0.040404,-0.011531
0.252525,0.040404,-0.012024
0.262626,0.040404,-0.012517
0.272727,0.040404,-0.013011
0.282828,0.040404,-0.013506
0.292929,0.040404,-0.014000
0.303030,0.040404,-0.014494
0.313131,0.040404,-0.014988
0.323232,0.040404,-0.015482
0.333333,0.040404,-0.015974
0.343434,0.040404,-0.016466
0.353535,0.040404,-0.016955
0.363636,0.040404,-0.017443
0.373737,0.040404,-0.017929
0.383838,0.040404,-0.018412
0.393939,0.040404,-0.018891
0.404040,0.040404,-0.019367
0.414141,0.040404,-0.019839
0.424242,0.040404,-0.020306
0.434343,0.040404,-0.020768
0.444444,0.040404,-0.021224
0.454545,0.040404,-0.021673
0.464646,0.040404,-0.022115
0.474747,0.040404,-0.022549
0.484848,0.040404,-0.022975
0.494949,0.040404,-0.023390
0.505051,0.040404,-0.023796
0.515152,0.040404,-0.024190
0.525253,0.040404,-0.024572
0.535354,0.040404,-0.024941
0.545455,0.040404,-0.025295
0.555556,0.040404,-0.025635
0.565657,0.040404,-0.025958
0.575758,0.040404,-0.026264
0.585859,0.040404,-0.026552
0.595960,0.040404,-0.026819
0.606061,0.040404,-0.027066
0.616162,0.040404,-0.027290
0.626263,0.040404,-0.027490
0.636364,0.040404,-0.027665
0.646465,0.040404,-0.027813
0.656566,0.040404,-0.027933
0.666667,0.040404,-0.028024
0.676768,0.040404,-0.028082
0.686869,0.040404,-0.028108
0.696970,0.040404,-0.028099
0.707071,0.040404,-0.028053
0.717172,0.040404,-0.027968
0.727273,0.040404,-0.027842
0.737374,0.040404,-0.027675
0.747475,0.040404,-0.027462
0.757576,0.040404,-0.027202
0.767677,0.040404,-0.026894
0.777778,0.040404,-0.026534
0.787879,0.040404,-0.026120
0.797980,0.040404,-0.025651
0.808081,0.040404,-0.025122
0.818182,0.040404,-0.024533
0.828283,0.040404,-0.023879
0.838384,0.040404,-0.023159
0.848485,0.040404,-0.022370
0.858586,0.040404,-0.021508
0.868687,0.040404,-0.020571
0.878788,0.040404,-0.019556
0.888889,0.040404,-0.018458
0.898990,0.040404,-0.017277
0.909091,0.040404,-0.016006
0.919192,0.040404,-0.014645
0.929293,0.040404,-0.013188
0.939394,0.040404,-0.011632
0.949495,0.040404,-0.009973
0.959596,0.040404,-0.008208
0.969697,0.040404,-0.006332
0.979798,0.040404,-0.004342
0.989899,0.040404,-0.002232
1.000000,0.040404,0.000000
0.000000,0.050505,0.000000
0.010101,0.050505,-0.000590
0.020202,0.050505,-0.001181
0.030303,0.050505,-0.001772
0.040404,0.050505,-0.002363
0.050505,0.050505,-0.002955
0.060606,0.050505,-0.003548
0.070707,0.050505,-0.004141
0.080808,0.050505,-0.004735
0.090909,0.050505,-0.005330
0.101010,0.050505,-0.005926
0.111111,0.050505,-0.006524
0.121212,0.050505,-0.007123
0.131313,0.050505,-0.007723
0.141414,0.050505,-0.008324
0.151515,0.050505,-0.008927
0.161616,0.050505,-0.009531
0.171717,0.050505,-0.010137
0.181818,0.050505,-0.010745
0.191919,0.050505,-0.011353
0.202020,0.050505,-0.011964
0.212121,0.050505,-0.012575
0.222222,0.050505,-0.013188
0.232323,0.050505,-0.013802
0.242424,0.050505,-0.014418
0.252525,0.050505,-0.015034
0.262626,0.050505,-0.015651
0.272727,0.050505,-0.016268
0.282828,0.050505,-0.016886
0.292929,0.050505,-0.017505
0.303030,0.050505,-0.018123
0.313131,0.050505,-0.018740
0.323232,0.050505,-0.019357
0.333333,0.050505,-0.019973
0.343434,0.050505,-0.020587
0.353535,0.050505,-0.021199
0.363636,0.050505,-0.021809
0.373737,0.050505,-0.022416
0.383838,0.050505,-0.023019
0.393939,0.050505,-0.023619
0.404040,0.050505,-0.024214
0.414141,0.050505,-0.024804
0.424242,0.050505,-0.025387
0.434343,0.050505,-0.025964
0.444444,0.050505,-0.026534
0.454545,0.050505,-0.027096
0.464646,0.050505,-0.027648
0.474747,0.050505,-0.028190
0.484848,0.050505,-0.028722
0.494949,0.050505,-0.029242
0.505051,0.050505,-0.029748
0.515152,0.050505,-0.030241
0.525253,0.050505,-0.030718
0.535354,0.050505,-0.031179
0.545455,0.050505,-0.031622
0.555556,0.050505,-0.032046
0.565657,0.050505,-0.032450
0.575758,0.050505,-0.032832
0.585859,0.050505,-0.033191
0.595960,0.050505,-0.033525
0.606061,0.050505,-0.033833
0.616162,0.050505,-0.034113
0.626263,0.050505,-0.034363
0.636364,0.050505,-0.034581
0.646465,0.050505,-0.034767
0.656566,0.050505,-0.034916
0.666667,0.050505,-0.035029
0.676768,0.050505,-0.035102
0.686869,0.050505,-0.035134
0.696970,0.050505,-0.035122
0.707071,0.050505,-0.035064
0.717172,0.050505,-0.034958
0.727273,0.050505,-0.034801
0.737374,0.050505,-0.034591
0.747475,0.050505,-0.034325
0.757576,0.050505,-0.034000
0.767677,0.050505,-0.033614
0.777778,0.050505,-0.033164
0.787879,0.050505,-0.032647
0.797980,0.050505,-0.032059
0.808081,0.050505,-0.031399
0.818182,0.050505,-0.030662
0.828283,0.050505,-0.029845
0.838384,0.050505,-0.028945
0.848485,0.050505,-0.027958
0.858586,0.050505,-0.026881
0.868687,0.050505,-0.025709
0.878788,0.050505,-0.024440
0.888889,0.050505,-0.023069
0.898990,0.050505,-0.021591
0.909091,0.050505,-0.020004
0.919192,0.050505,-0.018302
0.929293,0.050505,-0.016481
0.939394,0.050505,-0.014536
0.949495,0.050505,-0.012463
0.959596,0.050505,-0.010257
0.969697,0.050505,-0.007913
0.979798,0.050505,-0.005426
0.989899,0.050505,-0.002790
1.000000,0.050505,0.000000
0.000000,0.060606,0.000000
