x,y,error
0.808081,0.030303,-0.095697
0.818182,0.030303,-0.096214
0.828283,0.030303,-0.096682
0.838384,0.030303,-0.097101
0.848485,0.030303,-0.097467
0.858586,0.030303,-0.097779
0.868687,0.030303,-0.098035
0.878788,0.030303,-0.098232
0.888889,0.030303,-0.098367
0.898990,0.030303,-0.098439
0.909091,0.030303,-0.098444
0.919192,0.030303,-0.098381
0.929293,0.030303,-0.098246
0.939394,0.030303,-0.098036
0.949495,0.030303,-0.097750
0.959596,0.030303,-0.097383
0.969697,0.030303,-0.096934
0.979798,0.030303,-0.096398
0.989899,0.030303,-0.095773
1.000000,0.030303,-0.095056
0.000000,0.040404,0.000000
0.010101,0.040404,-0.001754
0.020202,0.040404,-0.003509
0.030303,0.040404,-0.005264
0.040404,0.040404,-0.007019
0.050505,0.040404,-0.008774
0.060606,0.040404,-0.010530
0.070707,0.040404,-0.012287
0.080808,0.040404,-0.014044
0.090909,0.040404,-0.015802
0.101010,0.040404,-0.017561
0.111111,0.040404,-0.019321
0.121212,0.040404,-0.021081
0.131313,0.040404,-0.022843
0.141414,0.040404,-0.024606
0.151515,0.040404,-0.026370
0.161616,0.040404,-0.028136
0.171717,0.040404,-0.029902
0.181818,0.040404,-0.031670
0.191919,0.040404,-0.033438
0.202020,0.040404,-0.035208
0.212121,0.040404,-0.036979
0.222222,0.040404,-0.038751
0.232323,0.040404,-0.040524
0.242424,0.040404,-0.042298
0.252525,0.040404,-0.044072
0.262626,0.040404,-0.045847
0.272727,0.040404,-0.047623
0.282828,0.040404,-0.049398
0.292929,0.040404,-0.051174
0.303030,0.040404,-0.052950
0.313131,0.040404,-0.054725
0.323232,0.040404,-0.056499
0.333333,0.040404,-0.058273
0.343434,0.040404,-0.060045
0.353535,0.040404,-0.061816
0.363636,0.040404,-0.063584
0.373737,0.040404,-0.065351
0.383838,0.040404,-0.067114
0.393939,0.040404,-0.068875
0.404040,0.040404,-0.070631
0.414141,0.040404,-0.072383
0.424242,0.040404,-0.074131
0.434343,0.040404,-0.075873
0.444444,0.040404,-0.077609
0.454545,0.040404,-0.079338
0.464646,0.040404,-0.081060
0.474747,0.040404,-0.082774
0.484848,0.040404,-0.084479
0.494949,0.040404,-0.086174
0.505051,0.040404,-0.087859
0.515152,0.040404,-0.089533
0.525253,0.040404,-0.091194
0.535354,0.040404,-0.092842
0.545455,0.040404,-0.094476
0.555556,0.040404,-0.096095
0.565657,0.040404,-0.097697
0.575758,0.040404,-0.099282
0.585859,0.040404,-0.100848
0.595960,0.040404,-0.102394
0.606061,0.040404,-0.103919
0.616162,0.040404,-0.105421
0.626263,0.040404,-0.106900
0.636364,0.040404,-0.108353
0.646465,0.040404,-0.109779
0.656566,0.040404,-0.111177
0.666667,0.040404,-0.112545
0.676768,0.040404,-0.113881
0.686869,0.040404,-0.115184
0.696970,0.040404,-0.116452
0.707071,0.040404,-0.117683
0.717172,0.040404,-0.118875
0.727273,0.040404,-0.120026
0.737374,0.040404,-0.121135
0.747475,0.040404,-0.122199
0.757576,0.040404,-0.123216
0.767677,0.040404,-0.124183
0.777778,0.040404,-0.125099
0.787879,0.040404,-0.125962
0.797980,0.040404,-0.126768
0.808081,0.040404,-0.127515
0.818182,0.040404,-0.128200
0.828283,0.040404,-0.128822
0.838384,0.040404,-0.129377
0.848485,0.040404,-0.129863
0.858586,0.040404,-0.130275
0.868687,0.040404,-0.130613
0.878788,0.040404,-0.130872
0.888889,0.040404,-0.131049
0.898990,0.040404,-0.131141
0.909091,0.040404,-0.131144
0.919192,0.040404,-0.131056
0.929293,0.040404,-0.130872
0.939394,0.040404,-0.130589
0.949495,0.040404,-0.130204
0.959596,0.040404,-0.129711
0.969697,0.040404,-0.129108
0.979798,0.040404,-0.128390
0.989899,0.040404,-0.127553
1.000000,0.040404,-0.126592
0.000000,0.050505,0.000000
0.010101,0.050505,-0.002193
0.020202,0.050505,-0.004386
0.030303,0.050505,-0.006580
0.040404,0.050505,-0.008774
0.050505,0.050505,-0.010968
0.060606,0.050505,-0.013164
0.070707,0.050505,-0.015359
0.080808,0.050505,-0.017556
0.090909,0.050505,-0.019754
0.101010,0.050505,-0.021953
0.111111,0.050505,-0.024153
0.121212,0.050505,-0.026354
0.131313,0.050505,-0.028556
0.141414,0.050505,-0.030760
0.151515,0.050505,-0.032965
0.161616,0.050505,-0.035172
0.171717,0.050505,-0.037380
0.181818,0.050505,-0.039589
0.191919,0.050505,-0.041800
0.202020,0.050505,-0.044012
0.212121,0.050505,-0.046225
0.222222,0.050505,-0.048440
0.232323,0.050505,-0.050656
0.242424,0.050505,-0.052873
0.252525,0.050505,-0.055090
0.262626,0.050505,-0.057309
0.272727,0.050505,-0.059528
0.282828,0.050505,-0.061747
0.292929,0.050505,-0.063966
0.303030,0.050505,-0.066185
0.313131,0.050505,-0.068403
0.323232,0.050505,-0.070620
0.333333,0.050505,-0.072837
0.343434,0.050505,-0.075051
0.353535,0.050505,-0.077264
0.363636,0.050505,-0.079474
0.373737,0.050505,-0.081681
0.383838,0.050505,-0.083884
